FECHA VENTA,ANIO VENTA,MES VENTA,DIA VENTA,CODIGO MUNICIPIO_DANE,MUNICIPIO INSTALACION,LATITUD,LONGITUD,EDS ACTIVAS,NUMERO DE VENTAS,VEHICULOS ATENDIDOS,CANTIDAD VOLUMEN SUMINISTRADO
09/08/2023 12:00:00 AM,2023,9,8,15157,SOGAMOSO,56466722488,-728709564209,1,175,142,1438.18
09/07/2023 12:00:00 AM,2023,9,7,15151,CHIQUINQUIRA,56224880219,-738042449951,2,367,270,3166.63
09/01/2023 12:00:00 AM,2023,9,1,15157,SOGAMOSO,56466722488,-728709564209,1,1,1,7.47
09/04/2023 12:00:00 AM,2023,9,4,15151,CHIQUINQUIRA,56224880219,-738042449951,2,342,261,3058.52
09/03/2023 12:00:00 AM,2023,9,3,15151,CHIQUINQUIRA,56224880219,-738042449951,2,358,248,2854.44
09/02/2023 12:00:00 AM,2023,9,2,15152,DUITAMA,58906025887,-730670928955,2,228,174,2607.88
09/03/2023 12:00:00 AM,2023,9,3,15152,DUITAMA,58906025887,-730670928955,2,169,117,1712.79
09/12/2023 12:00:00 AM,2023,9,12,15150,TUNJA,55184726715,-733780212402,2,389,282,4492.85
09/04/2023 12:00:00 AM,2023,9,4,15152,DUITAMA,58906025887,-730670928955,2,203,154,2431.19
09/01/2023 12:00:00 AM,2023,9,1,15152,DUITAMA,58906025887,-730670928955,2,223,171,2348.2
09/09/2023 12:00:00 AM,2023,9,9,15150,TUNJA,55184726715,-733780212402,2,439,316,4557.1
09/05/2023 12:00:00 AM,2023,9,5,15151,CHIQUINQUIRA,56224880219,-738042449951,2,346,254,3091.67
09/12/2023 12:00:00 AM,2023,9,12,15157,SOGAMOSO,56466722488,-728709564209,1,228,164,2107.31
09/03/2023 12:00:00 AM,2023,9,3,15150,TUNJA,55184726715,-733780212402,2,347,258,3488.7
09/02/2023 12:00:00 AM,2023,9,2,15151,CHIQUINQUIRA,56224880219,-738042449951,2,403,293,3348.18
09/10/2023 12:00:00 AM,2023,9,10,15157,SOGAMOSO,56466722488,-728709564209,1,219,148,1857.7
09/09/2023 12:00:00 AM,2023,9,9,15157,SOGAMOSO,56466722488,-728709564209,1,229,151,1811.41
09/10/2023 12:00:00 AM,2023,9,10,15151,CHIQUINQUIRA,56224880219,-738042449951,2,330,241,2670.73
09/05/2023 12:00:00 AM,2023,9,5,15150,TUNJA,55184726715,-733780212402,2,408,301,4468.74
09/10/2023 12:00:00 AM,2023,9,10,15150,TUNJA,55184726715,-733780212402,2,325,247,3433.97
09/08/2023 12:00:00 AM,2023,9,8,15151,CHIQUINQUIRA,56224880219,-738042449951,2,397,293,3575.27
09/02/2023 12:00:00 AM,2023,9,2,15150,TUNJA,55184726715,-733780212402,2,460,335,5096.17
09/01/2023 12:00:00 AM,2023,9,1,15150,TUNJA,55184726715,-733780212402,2,452,331,4886.14
08/08/2023 12:00:00 AM,2023,8,8,15152,DUITAMA,58906025887,-730670928955,2,239,174,2814.89
